date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2023/8/9,買,9907,統一實,1000,17.50,0,0,20,0,17500,20,17520,0,,alex
2023/8/9,賣,2353,宏碁,0,0,1000,37.30,32,112,37300,144,0,37156,,alex
2023/8/14,買,9907,統一實,1000,16.50,0,0,20,0,16500,20,16520,0,,alex
2023/8/17,賣,2353,宏碁,0,0,1000,38.55,33,116,38550,149,0,38401,,alex
2023/8/21,買,6176,瑞儀,1000,113.50,0,0,97,0,113500,97,113597,0,,alex
2023/9/12,買,6176,瑞儀,3000,125.50,0,0,322,0,376500,322,376822,0,,alex
2023/9/12,賣,6176,瑞儀,0,0,3000,127.00,326,1143,381000,1469,0,379531,,alex
2023/9/25,買,6798,展逸,1000,69.60,0,0,60,0,69600,60,69660,0,,alex
2023/9/25,買,6798,展逸,2000,69.60,0,0,119,0,139200,119,139319,0,,alex
2023/10/16,買,2303,聯電,1000,47.45,0,0,41,0,47450,41,47491,0,,alex
2023/10/16,買,9907,統一實,1000,16.10,0,0,20,0,16100,20,16120,0,,alex
2023/10/24,買,2468,華經,2000,30.15,0,0,52,0,60300,52,60352,0,,alex
2023/10/24,買,2468,華經,2000,30.10,0,0,51,0,60200,51,60251,0,,alex
2023/10/24,賣,6176,瑞儀,0,0,1000,127.50,109,383,127500,492,0,127008,,alex
2023/10/31,買,2884,玉山金,2000,23.80,0,0,41,0,47600,41,47641,0,,alex
2023/11/1,賣,6176,瑞儀,0,0,1000,124.50,106,374,124500,480,0,124020,,alex
2023/11/3,賣,2303,聯電,0,0,2000,49.20,84,295,98400,379,0,98021,,alex
2023/11/7,賣,2303,聯電,0,0,1000,49.20,42,148,49200,190,0,49010,,alex
2023/11/7,買,2468,華經,1000,29.00,0,0,25,0,29000,25,29025,0,,alex
2023/11/9,賣,2330,台積電,0,0,1000,555.00,475,1665,555000,2140,0,552860,,alex
2023/11/15,買,9907,統一實,1000,15.80,0,0,20,0,15800,20,15820,0,,alex
2023/11/21,買,6798,展逸,1000,65.00,0,0,56,0,65000,56,65056,0,,alex
2023/11/23,賣,6176,瑞儀,0,0,1000,131.00,112,393,131000,505,0,130495,,alex
2023/11/27,賣,2884,玉山金,0,0,1000,25.55,22,77,25550,98,0,25452,,alex
2023/12/1,賣,2468,華經,0,0,2000,31.05,53,186,62100,239,0,61861,,alex
2023/12/4,賣,2845,遠東銀,0,0,1000,12.05,20,36,12050,56,0,11994,,alex
2023/12/4,賣,2888,新光金,0,0,2000,8.96,20,54,17920,74,0,17846,,alex
2023/12/8,賣,2845,遠東銀,0,0,1000,12.45,20,37,12450,57,0,12393,,alex
